"idx"	"value"	"predict"	"group"
"21"	"chr1|-|d|ENSG00000219481|16567978|SRR14638435"	-0.26654802259887	-0.371290534734726	"down"
"22"	"chr1|-|d|ENSG00000219481|16574486|SRR14638435"	-0.166146953405018	-0.23332691192627	"down"
"23"	"chr1|-|d|ENSG00000219481|16575156|SRR14638435"	-0.205331034482758	-0.320321172475815	"down"
"24"	"chr1|-|d|ENSG00000219481|16580744|SRR14638435"	-0.18188679245283	-0.297039330005646	"down"
"25"	"chr1|-|d|ENSG00000219481|16582543|SRR14638435"	-0.224813852813853	-0.391125619411469	"down"
"26"	"chr1|-|d|ENSG00000219481|16583593|SRR14638435"	-0.158327645051195	-0.332852810621262	"down"
"27"	"chr1|-|d|ENSG00000219481|16585488|SRR14638435"	-0.243842105263158	-0.348045408725739	"down"
"28"	"chr1|-|d|ENSG00000219481|16594930|SRR14638435"	-0.184531468531469	-0.342103242874146	"down"
"29"	"chr1|-|d|ENSG00000219481|16608507|SRR14638435"	-0.20716129032258	-0.324306398630142	"down"
"30"	"chr1|-|d|ENSG00000077549|19485435|SRR14638435"	-0.155193633952255	-0.14965283870697	"down"
"31"	"chr1|-|d|ENSG00000075151|20950002|SRR14638435"	-0.151007220216606	-0.0506575554609298	"down"
"32"	"chr1|-|d|ENSG00000075151|20969473|SRR14638435"	-0.161415807560137	-0.0644597634673118	"down"
"33"	"chr1|-|d|ENSG00000075151|21176721|SRR14638435"	-0.186595652173913	-0.123563043773174	"down"
"34"	"chr1|-|d|ENSG00000117298|21290363|SRR14638435"	-0.191982832618026	-0.221875786781311	"down"
"35"	"chr1|-|d|ENSG00000142798|21842769|SRR14638435"	-0.161707224334601	-0.0538052693009376	"down"
"36"	"chr1|-|d|ENSG00000142798|21851790|SRR14638435"	-0.210482876712329	-0.219618052244186	"down"
"37"	"chr1|+|d|ENSG00000011007|23752030|SRR14638435"	-0.166806853582555	-0.111953251063824	"down"
"38"	"chr1|-|d|ENSG00000188529|23978712|SRR14638435"	-0.173494565217391	-0.227484852075577	"down"
"39"	"chr1|+|d|ENSG00000117643|25746783|SRR14638435"	0.160090909090909	0.171248883008957	"up"
"40"	"chr1|+|d|ENSG00000117643|25749335|SRR14638435"	0.157564705882353	0.182804435491562	"up"
"41"	"chr1|+|d|ENSG00000117643|25778324|SRR14638435"	0.195246913580247	0.175881415605545	"up"
"42"	"chr1|+|d|ENSG00000117643|25781112|SRR14638435"	0.188153846153846	0.242601990699768	"up"
"43"	"chr1|+|d|ENSG00000117758|27789631|SRR14638435"	-0.244468438538206	-0.178960084915161	"down"
"44"	"chr1|+|d|ENSG00000117758|27793632|SRR14638435"	-0.168233766233766	-0.170880287885666	"down"
"45"	"chr1|-|d|ENSG00000084636|31688466|SRR14638435"	-0.162190839694656	-0.199219167232513	"down"
"46"	"chr1|-|d|ENSG00000084636|31690366|SRR14638435"	-0.160254237288136	-0.14135217666626	"down"
"47"	"chr1|-|d|ENSG00000134684|32782403|SRR14638435"	-0.213825396825397	-0.161260336637497	"down"
"48"	"chr1|-|d|ENSG00000134684|32786939|SRR14638435"	-0.207698895027624	-0.250460684299469	"down"
"49"	"chr1|-|d|ENSG00000134686|33334089|SRR14638435"	0.157367521367521	0.104907982051373	"up"
"50"	"chr1|+|d|ENSG00000054118|36296770|SRR14638435"	-0.153246113989637	-0.142748355865478	"down"
"51"	"chr1|+|d|ENSG00000168653|39026402|SRR14638435"	-0.17660632183908	0.0162080451846122	"down"
"52"	"chr1|+|d|ENSG00000127603|39205131|SRR14638435"	0.168431578947368	0.0218796357512474	"up"
"53"	"chr1|+|d|ENSG00000084070|40406869|SRR14638435"	-0.170721649484536	-0.0761662200093269	"down"
"54"	"chr1|+|d|ENSG00000142949|43531090|SRR14638435"	-0.324890476190476	-0.379150003194809	"down"
"55"	"chr1|+|d|ENSG00000142949|43538277|SRR14638435"	-0.159284518828452	-0.253354907035828	"down"
"56"	"chr1|+|d|ENSG00000142949|43545166|SRR14638435"	-0.243524752475248	-0.343361049890518	"down"
"57"	"chr1|+|d|ENSG00000142949|43553637|SRR14638435"	-0.25125	-0.260832637548447	"down"
"58"	"chr1|+|d|ENSG00000142949|43553941|SRR14638435"	-0.254957364341085	-0.292956799268722	"down"
"59"	"chr1|+|d|ENSG00000142949|43569778|SRR14638435"	-0.246240310077519	-0.251010626554489	"down"
"60"	"chr1|+|d|ENSG00000142949|43578920|SRR14638435"	-0.321433734939759	-0.259619921445847	"down"
"61"	"chr1|+|d|ENSG00000142949|43589000|SRR14638435"	-0.307665427509294	-0.242488175630569	"down"
"62"	"chr1|+|d|ENSG00000142949|43591553|SRR14638435"	-0.257234782608696	-0.296442836523056	"down"
"63"	"chr1|+|d|ENSG00000142949|43591948|SRR14638435"	-0.275349809885932	-0.233779489994049	"down"
"64"	"chr1|+|d|ENSG00000142949|43598913|SRR14638435"	-0.247353159851301	-0.252797216176987	"down"
"65"	"chr1|+|d|ENSG00000142949|43603533|SRR14638435"	-0.290873188405797	-0.262536436319351	"down"
"66"	"chr1|+|d|ENSG00000142949|43604189|SRR14638435"	-0.246399253731343	-0.261281043291092	"down"
"67"	"chr1|+|d|ENSG00000142949|43605443|SRR14638435"	-0.236390756302521	-0.280118197202682	"down"
"68"	"chr1|+|d|ENSG00000142949|43606458|SRR14638435"	-0.210895973154362	-0.236351609230042	"down"
"69"	"chr1|+|d|ENSG00000142949|43606968|SRR14638435"	-0.224982817869416	-0.215524137020111	"down"
"70"	"chr1|+|d|ENSG00000142949|43609498|SRR14638435"	-0.285572881355932	-0.271206945180893	"down"
"71"	"chr1|+|d|ENSG00000142949|43613715|SRR14638435"	-0.353986206896552	-0.266772836446762	"down"
"72"	"chr1|+|d|ENSG00000142949|43617568|SRR14638435"	-0.201105263157895	-0.286348909139633	"down"
"73"	"chr1|+|d|ENSG00000142949|43617911|SRR14638435"	-0.271444444444444	-0.257362216711044	"down"
"74"	"chr1|+|d|ENSG00000142949|43618749|SRR14638435"	-0.163419014084507	-0.249784886837006	"down"
"75"	"chr1|+|d|ENSG00000142949|43619858|SRR14638435"	-0.31957299270073	-0.273703664541245	"down"
"76"	"chr1|+|d|ENSG00000142949|43620221|SRR14638435"	-0.24140780141844	-0.259799212217331	"down"
"77"	"chr1|+|d|ENSG00000142949|43620579|SRR14638435"	-0.151773462783171	-0.271348387002945	"down"
"78"	"chr1|+|d|ENSG00000142949|43620992|SRR14638435"	-0.242395104895105	-0.264093101024628	"down"
"79"	"chr1|+|d|ENSG00000142949|43621232|SRR14638435"	-0.218396721311475	-0.229800969362259	"down"
"80"	"chr1|+|d|ENSG00000066135|43655766|SRR14638435"	-0.236269662921348	-0.245334923267365	"down"
"81"	"chr1|+|d|ENSG00000066135|43665745|SRR14638435"	-0.243158671586716	-0.237611055374146	"down"
"82"	"chr1|-|d|ENSG00000085998|46193854|SRR14638435"	-0.150297805642633	-0.269895255565643	"down"
"83"	"chr1|+|d|ENSG00000173660|46309127|SRR14638435"	-0.203524675324675	-0.223422646522522	"down"
"84"	"chr1|-|d|ENSG00000159658|46688352|SRR14638435"	0.232725609756097	0.19532835483551	"up"
"85"	"chr1|+|d|ENSG00000132849|61927829|SRR14638435"	-0.29968992248062	-0.308302730321884	"down"
"86"	"chr1|+|d|ENSG00000116754|70221839|SRR14638435"	-0.172045945945946	-0.268139004707336	"down"
"87"	"chr1|+|d|ENSG00000116754|70228555|SRR14638435"	-0.173029810298103	-0.238749533891678	"down"
"88"	"chr1|-|d|ENSG00000132485|71069275|SRR14638435"	-0.231425876010781	-0.185211926698685	"down"
"89"	"chr1|-|d|ENSG00000132485|71070826|SRR14638435"	-0.331449152542373	-0.270632565021515	"down"
"90"	"chr1|+|d|ENSG00000117505|93346865|SRR14638435"	-0.201980225988701	-0.299079269170761	"down"
"91"	"chr1|+|d|ENSG00000117505|93354071|SRR14638435"	-0.190626984126984	-0.242428809404373	"down"
"92"	"chr1|-|d|ENSG00000117525|94540256|SRR14638435"	-0.196052356020942	-0.123991928994656	"down"
"93"	"chr1|-|d|ENSG00000117525|94541536|SRR14638435"	-0.21937908496732	-0.180421471595764	"down"
"94"	"chr1|+|d|ENSG00000162695|100896671|SRR14638435"	-0.177123809523809	-0.0931828022003173	"down"
"95"	"chr1|+|d|ENSG00000215717|109093021|SRR14638435"	-0.173105095541401	-0.189543902873993	"down"
"96"	"chr1|+|d|ENSG00000116337|109628495|SRR14638435"	-0.185762962962963	-0.0665689036250114	"down"
"97"	"chr1|+|d|ENSG00000213366|109669571|SRR14638435"	-0.322775933609958	-0.246142536401749	"down"
"98"	"chr1|+|d|ENSG00000198162|117442325|SRR14638435"	-0.244112554112554	-0.172601044178009	"down"
"99"	"chr1|-|d|ENSG00000134250|119963573|SRR14638435"	-0.161779310344828	-0.247688084840775	"down"
"100"	"chr1|-|d|ENSG00000265808|120160383|SRR14638435"	-0.285928381962865	-0.306665539741516	"down"
"101"	"chr1|-|d|ENSG00000265808|120163209|SRR14638435"	-0.304510582010582	-0.319367825984955	"down"
"102"	"chr1|-|d|ENSG00000265808|120168839|SRR14638435"	-0.281428571428571	-0.306985825300217	"down"
"103"	"chr1|-|d|ENSG00000265808|120176306|SRR14638435"	-0.20010752688172	-0.329304426908493	"down"
"104"	"chr1|+|d|ENSG00000270231|120447166|SRR14638435"	-0.324748175182482	0.0250343307852745	"down"
"105"	"chr1|+|d|ENSG00000273136|120785233|SRR14638435"	-0.160878378378378	-0.243441045284271	"down"
"106"	"chr1|+|d|ENSG00000273136|120793496|SRR14638435"	-0.221260162601626	-0.277528524398804	"down"
"107"	"chr1|+|d|ENSG00000273136|120807709|SRR14638435"	-0.226731092436975	-0.318094968795776	"down"
"108"	"chr1|+|d|ENSG00000273136|120812095|SRR14638435"	-0.450888392857143	-0.450043499469757	"down"
"109"	"chr1|+|d|ENSG00000273136|120816157|SRR14638435"	-0.2332	-0.236496359109879	"down"
"110"	"chr1|+|d|ENSG00000273136|120825686|SRR14638435"	-0.378933933933934	-0.209452748298645	"down"
"111"	"chr1|+|d|ENSG00000273136|120827226|SRR14638435"	-0.327227405247813	-0.210077255964279	"down"
"112"	"chr1|+|d|ENSG00000273136|120833775|SRR14638435"	-0.167030726256983	-0.254733920097351	"down"
"113"	"chr1|+|d|ENSG00000171943|121324640|SRR14638435"	-0.165613559322034	-0.107889376580715	"down"
"114"	"chr1|-|d|ENSG00000266338|144435780|SRR14638435"	-0.164893939393939	-0.201667904853821	"down"
"115"	"chr1|-|d|ENSG00000196369|144893407|SRR14638435"	-0.153141818181818	-0.0375080183148384	"down"
"116"	"chr1|-|d|ENSG00000265491|145747994|SRR14638435"	-0.387236923076923	-0.275185167789459	"down"
"117"	"chr1|-|d|ENSG00000265491|145750406|SRR14638435"	-0.411884146341463	-0.255648881196976	"down"
"118"	"chr1|-|d|ENSG00000265491|145751437|SRR14638435"	-0.326045731707317	-0.257474482059479	"down"
"119"	"chr1|-|d|ENSG00000265491|145752977|SRR14638435"	-0.348831831831832	-0.243282854557037	"down"
"120"	"chr1|-|d|ENSG00000265491|145771710|SRR14638435"	-0.268659942363112	-0.249010741710663	"down"
"121"	"chr1|-|d|ENSG00000265491|145784538|SRR14638435"	-0.342467492260062	-0.289842218160629	"down"
"122"	"chr1|-|d|ENSG00000265491|145788907|SRR14638435"	-0.366470779220779	-0.411056846380234	"down"
"123"	"chr1|-|d|ENSG00000265491|145823771|SRR14638435"	-0.510219931271478	-0.32583937048912	"down"
"124"	"chr1|-|d|ENSG00000131788|145850231|SRR14638435"	-0.248722972972973	-0.377353072166443	"down"
"125"	"chr1|-|d|ENSG00000131788|145850452|SRR14638435"	-0.30786941580756	-0.414493292570114	"down"
"126"	"chr1|-|d|ENSG00000131788|145850770|SRR14638435"	-0.380386885245901	-0.332952886819839	"down"
"127"	"chr1|-|d|ENSG00000131788|145853503|SRR14638435"	-0.247583333333333	-0.342738002538681	"down"
"128"	"chr1|-|d|ENSG00000131788|145853812|SRR14638435"	-0.272442567567568	-0.393633395433426	"down"
"129"	"chr1|-|d|ENSG00000131788|145854457|SRR14638435"	-0.266805555555556	-0.402647852897644	"down"
"130"	"chr1|-|d|ENSG00000131788|145856067|SRR14638435"	-0.170867158671587	-0.316462486982346	"down"
"131"	"chr1|-|d|ENSG00000131788|145856346|SRR14638435"	-0.262220973782771	-0.380367606878281	"down"
"132"	"chr1|-|d|ENSG00000131779|145916816|SRR14638435"	-0.35693023255814	-0.26825487613678	"down"
"133"	"chr1|-|d|ENSG00000131779|145917700|SRR14638435"	-0.390402777777778	-0.364087462425232	"down"
"134"	"chr1|-|d|ENSG00000265241|145927017|SRR14638435"	-0.207201634877384	-0.27446636557579	"down"
"135"	"chr1|-|d|ENSG00000271601|145957635|SRR14638435"	-0.167056680161943	-0.317104130983353	"down"
"136"	"chr1|-|d|ENSG00000271425|146077466|SRR14638435"	0.2245	0.0322607681155204	"up"
"137"	"chr1|-|d|ENSG00000271425|146079006|SRR14638435"	0.272601941747573	0.319689035415649	"up"
"138"	"chr1|-|d|ENSG00000271425|146083736|SRR14638435"	0.287787878787879	0.327835619449615	"up"
"139"	"chr1|-|d|ENSG00000271425|146088463|SRR14638435"	0.281397959183673	0.320594072341919	"up"
"140"	"chr1|-|d|ENSG00000271425|146127027|SRR14638435"	-0.182872448979592	-0.259294509887695	"down"
"141"	"chr1|-|d|ENSG00000271425|146128118|SRR14638435"	-0.183569078947369	-0.240808486938477	"down"
"142"	"chr1|-|d|ENSG00000271425|146139808|SRR14638435"	-0.193697674418605	-0.191821277141571	"down"
"143"	"chr1|-|d|ENSG00000271425|146141603|SRR14638435"	-0.189192452830189	-0.208723127841949	"down"
"144"	"chr1|-|d|ENSG00000271425|146156479|SRR14638435"	-0.168618518518519	-0.303721934556961	"down"
"145"	"chr1|-|d|ENSG00000263956|148110377|SRR14638435"	-0.319241007194245	-0.283995866775513	"down"
"146"	"chr1|-|d|ENSG00000263956|148115792|SRR14638435"	-0.209717948717949	-0.26935076713562	"down"
"147"	"chr1|-|d|ENSG00000263956|148118619|SRR14638435"	-0.313551546391752	-0.36139377951622	"down"
"148"	"chr1|-|d|ENSG00000263956|148122728|SRR14638435"	-0.185347826086956	-0.278276860713959	"down"
"149"	"chr1|-|d|ENSG00000263956|148123852|SRR14638435"	-0.242440433212996	-0.279405504465103	"down"
"150"	"chr1|-|d|ENSG00000270629|148534683|SRR14638435"	-0.360184115523466	-0.339470475912094	"down"
"151"	"chr1|-|d|ENSG00000270629|148556689|SRR14638435"	-0.231667870036101	-0.37208679318428	"down"
"152"	"chr1|-|d|ENSG00000270629|148559020|SRR14638435"	0.252300613496932	0.100705228745937	"up"
"153"	"chr1|-|d|ENSG00000270629|148567712|SRR14638435"	0.173993670886076	0.0970582291483879	"up"
"154"	"chr1|-|d|ENSG00000270629|148572442|SRR14638435"	0.177904411764706	0.131304502487183	"up"
"155"	"chr1|-|d|ENSG00000270629|148575638|SRR14638435"	0.220115044247787	0.0792867317795753	"up"
"156"	"chr1|-|d|ENSG00000270629|148577182|SRR14638435"	0.235212698412698	0.1700579226017	"up"
"157"	"chr1|-|d|ENSG00000270629|148585140|SRR14638435"	-0.196727891156462	-0.27999159693718	"down"
"158"	"chr1|-|d|ENSG00000270629|148593597|SRR14638435"	-0.185845238095238	-0.316899687051773	"down"
"159"	"chr1|-|d|ENSG00000270629|148595854|SRR14638435"	0.169842424242424	-0.212278634309769	"up"
"160"	"chr1|-|d|ENSG00000269713|149065525|SRR14638435"	-0.159522184300341	-0.246532887220383	"down"
"161"	"chr1|-|d|ENSG00000269713|149100740|SRR14638435"	-0.231390350877193	-0.308539360761642	"down"
"162"	"chr1|+|d|ENSG00000286185|149463826|SRR14638435"	-0.214147058823529	-0.308616757392883	"down"
"163"	"chr1|+|d|ENSG00000286185|149480214|SRR14638435"	-0.200253424657534	-0.236401587724686	"down"
"164"	"chr1|+|d|ENSG00000143398|151199081|SRR14638435"	-0.185117424242424	-0.274961024522781	"down"
"165"	"chr1|+|d|ENSG00000160679|153636653|SRR14638435"	-0.254663934426229	-0.247946292161942	"down"
"166"	"chr1|+|d|ENSG00000143624|153747070|SRR14638435"	-0.181007547169811	-0.411150485277176	"down"
"167"	"chr1|-|d|ENSG00000160714|154550937|SRR14638435"	-0.18175208913649	-0.246192395687103	"down"
"168"	"chr1|-|d|ENSG00000116521|155260536|SRR14638435"	-0.220571856287425	-0.0884878411889076	"down"
"169"	"chr1|-|d|ENSG00000116521|155261656|SRR14638435"	-0.215744807121662	-0.251707255840302	"down"
"170"	"chr1|+|d|ENSG00000160752|155318291|SRR14638435"	-0.152584558823529	-0.165751129388809	"down"
"171"	"chr1|+|d|ENSG00000132676|155729122|SRR14638435"	-0.177581395348837	-0.176934659481049	"down"
"172"	"chr1|-|d|ENSG00000116584|155969155|SRR14638435"	-0.150315789473684	-0.211165457963943	"down"
"173"	"chr1|-|d|ENSG00000116604|156467992|SRR14638435"	-0.194048109965636	-0.167146503925323	"down"
"174"	"chr1|+|d|ENSG00000183853|158089628|SRR14638435"	-0.156918238993711	-0.0377169176936149	"down"
"175"	"chr1|-|d|ENSG00000258465|160222650|SRR14638435"	-0.215819484240688	-0.212199240922928	"down"
"176"	"chr1|-|d|ENSG00000258465|160225590|SRR14638435"	-0.155216066481994	-0.195192754268646	"down"
"177"	"chr1|-|d|ENSG00000258465|160239696|SRR14638435"	-0.252993333333334	-0.25527423620224	"down"
"178"	"chr1|-|d|ENSG00000162735|160279800|SRR14638435"	-0.221920265780731	-0.260798960924149	"down"
"179"	"chr1|-|d|ENSG00000162735|160282943|SRR14638435"	-0.151376470588235	-0.229217380285263	"down"
"180"	"chr1|-|d|ENSG00000162735|160283529|SRR14638435"	-0.212573573573574	-0.344275563955307	"down"
"181"	"chr1|-|d|ENSG00000122218|160291334|SRR14638435"	-0.190927272727273	-0.225652754306793	"down"
"182"	"chr1|-|d|ENSG00000122218|160294767|SRR14638435"	-0.217297872340425	-0.269203066825867	"down"
"183"	"chr1|-|d|ENSG00000122218|160305432|SRR14638435"	-0.210151436031331	-0.246111690998077	"down"
"184"	"chr1|-|d|ENSG00000122218|160306353|SRR14638435"	-0.15685	-0.25071382522583	"down"
"185"	"chr1|-|d|ENSG00000122218|160311867|SRR14638435"	-0.150094736842105	-0.243521094322205	"down"
"186"	"chr1|+|d|ENSG00000158864|161213732|SRR14638435"	-0.197401617250674	-0.185585081577301	"down"
"187"	"chr1|+|d|ENSG00000162733|162632631|SRR14638435"	-0.165516666666667	-0.257312059402466	"down"
"188"	"chr1|+|d|ENSG00000185630|164820184|SRR14638435"	-0.167563106796116	-0.0709191933274269	"down"
"189"	"chr1|+|d|ENSG00000117523|171591204|SRR14638435"	-0.284306010928962	-0.274502992630005	"down"
"190"	"chr1|-|d|ENSG00000116679|185306484|SRR14638435"	0.166466275659824	0.15384167432785	"up"
"191"	"chr1|+|d|ENSG00000000971|196713917|SRR14638435"	0.173041237113402	-0.172845155000687	"up"
"192"	"chr1|-|d|ENSG00000159176|201507069|SRR14638435"	-0.185154639175258	-0.242117494344711	"down"
"193"	"chr1|-|d|ENSG00000143862|202135706|SRR14638435"	-0.186736686390532	-0.013334222137928	"down"
"194"	"chr1|-|d|ENSG00000069275|205749956|SRR14638435"	-0.227356955380578	-0.250641494989395	"down"
"195"	"chr1|-|d|ENSG00000133065|205794869|SRR14638435"	-0.381578231292517	-0.43949344754219	"down"
"196"	"chr1|-|d|ENSG00000133065|205795343|SRR14638435"	-0.56091015625	-0.514595866203308	"down"
"197"	"chr1|-|d|ENSG00000133065|205797903|SRR14638435"	-0.482469273743017	-0.552704870700836	"down"
"198"	"chr1|-|d|ENSG00000133065|205798668|SRR14638435"	-0.481913978494624	-0.513642251491547	"down"
"199"	"chr1|-|d|ENSG00000133065|205798956|SRR14638435"	-0.467289017341041	-0.442809045314789	"down"
"200"	"chr1|-|d|ENSG00000133065|205799758|SRR14638435"	-0.430204968944099	-0.552691638469696	"down"
"201"	"chr1|-|d|ENSG00000133065|205800952|SRR14638435"	-0.478233201581028	-0.476314425468445	"down"
"202"	"chr1|-|d|ENSG00000133065|205810069|SRR14638435"	-0.516109523809524	-0.554126024246216	"down"
"203"	"chr1|-|d|ENSG00000133065|205812807|SRR14638435"	-0.374610810810811	-0.240733504295349	"down"
"204"	"chr1|+|d|ENSG00000266028|206343008|SRR14638435"	-0.187335616438356	-0.155379593372345	"down"
"205"	"chr1|+|d|ENSG00000117335|207767823|SRR14638435"	-0.227715447154472	-0.154966533184052	"down"
"206"	"chr1|+|d|ENSG00000117335|207790345|SRR14638435"	0.189508021390374	0.0671586170792579	"up"
"207"	"chr1|-|d|ENSG00000152104|214401684|SRR14638435"	-0.153511904761905	-0.208590239286423	"down"
"208"	"chr1|-|d|ENSG00000152104|214411683|SRR14638435"	-0.16867816091954	-0.220902293920517	"down"
"209"	"chr1|-|d|ENSG00000152104|214414628|SRR14638435"	-0.258917525773196	-0.22612801194191	"down"
"210"	"chr1|-|d|ENSG00000152104|214464629|SRR14638435"	-0.207666666666667	-0.278740584850311	"down"
"211"	"chr1|-|d|ENSG00000152104|214551182|SRR14638435"	-0.254974576271186	-0.316398292779922	"down"
"212"	"chr1|+|d|ENSG00000143761|228082765|SRR14638435"	-0.182133507853403	-0.208717584609985	"down"
"213"	"chr1|-|d|ENSG00000135766|231367568|SRR14638435"	-0.282355345911949	-0.203970611095428	"down"
"214"	"chr2|-|d|ENSG00000130508|1654399|SRR14638435"	-0.237297794117647	-0.118038564920425	"down"
"215"	"chr2|+|d|ENSG00000171853|3460336|SRR14638435"	-0.338198675496689	-0.215825974941254	"down"
"216"	"chr2|+|d|ENSG00000171853|3465695|SRR14638435"	-0.318504761904762	-0.268451422452927	"down"
"217"	"chr2|+|d|ENSG00000171853|3478933|SRR14638435"	-0.189774193548387	-0.219561249017715	"down"
"218"	"chr2|-|d|ENSG00000182551|3519367|SRR14638435"	-0.301783950617284	-0.275127768516541	"down"
"219"	"chr2|-|d|ENSG00000171865|3547930|SRR14638435"	-0.393242774566474	-0.420615017414093	"down"
"220"	"chr2|-|d|ENSG00000171865|3548639|SRR14638435"	-0.406826865671642	-0.456850916147232	"down"
"221"	"chr2|-|d|ENSG00000171865|3552143|SRR14638435"	-0.336287197231834	-0.424375027418137	"down"
"222"	"chr2|-|d|ENSG00000171865|3556788|SRR14638435"	-0.306255882352941	-0.42326807975769	"down"
"223"	"chr2|-|d|ENSG00000171865|3558132|SRR14638435"	-0.357400641025641	-0.474430590867996	"down"
"224"	"chr2|+|d|ENSG00000119777|27035285|SRR14638435"	-0.174654109589041	-0.258904129266739	"down"
"225"	"chr2|+|d|ENSG00000138085|27215753|SRR14638435"	-0.196653958944282	-0.308157294988632	"down"
"226"	"chr2|+|d|ENSG00000084774|27235427|SRR14638435"	-0.174763485477178	-0.424058705568314	"down"
"227"	"chr2|+|d|ENSG00000243147|27772692|SRR14638435"	-0.167435435435435	-0.222723871469498	"down"
"228"	"chr2|+|d|ENSG00000119801|30147062|SRR14638435"	-0.329281150159744	-0.308325946331024	"down"
"229"	"chr2|+|d|ENSG00000150938|36396787|SRR14638435"	-0.165966911764706	-0.221204578876495	"down"
"230"	"chr2|-|d|ENSG00000115875|38748897|SRR14638435"	0.168930481283422	0.205438852310181	"up"
"231"	"chr2|-|d|ENSG00000011566|39325517|SRR14638435"	-0.169546391752577	-0.132684081792831	"down"
"232"	"chr2|-|d|ENSG00000011566|39337525|SRR14638435"	-0.164792079207921	-0.217492908239365	"down"
"233"	"chr2|+|d|ENSG00000115306|54526566|SRR14638435"	0.19744	0.141228169202805	"up"
"234"	"chr2|-|d|ENSG00000115380|55922898|SRR14638435"	0.237200854700855	0.151525497436523	"up"
"235"	"chr2|-|d|ENSG00000082898|61525269|SRR14638435"	0.230302114803625	0.152810394763947	"up"
"236"	"chr2|+|d|ENSG00000143995|66548019|SRR14638435"	-0.19091447368421	-0.149525925517082	"down"
"237"	"chr2|+|d|ENSG00000143995|66569145|SRR14638435"	-0.194741935483871	-0.0694949999451637	"down"
"238"	"chr2|-|d|ENSG00000116001|70227734|SRR14638435"	-0.172350769230769	-0.235359758138657	"down"
"239"	"chr2|-|d|ENSG00000116001|70229058|SRR14638435"	-0.263965732087227	-0.247939854860306	"down"
"240"	"chr2|+|d|ENSG00000124357|71070839|SRR14638435"	-0.159418461538462	-0.156978964805603	"down"
"241"	"chr2|+|d|ENSG00000114956|73939022|SRR14638435"	0.150727554179566	-0.00145073980093	"up"
"242"	"chr2|-|d|ENSG00000135956|96265137|SRR14638435"	-0.163953177257525	-0.280247807502747	"down"
"243"	"chr2|-|d|ENSG00000144028|96286310|SRR14638435"	-0.212466101694915	-0.33282858133316	"down"
"244"	"chr2|-|d|ENSG00000144028|96289036|SRR14638435"	-0.157515492957746	-0.277202278375626	"down"
"245"	"chr2|-|d|ENSG00000144028|96289798|SRR14638435"	-0.150349162011173	-0.292785346508026	"down"
"246"	"chr2|-|d|ENSG00000144028|96293315|SRR14638435"	-0.161868945868946	-0.303748816251755	"down"
"247"	"chr2|-|d|ENSG00000144028|96295487|SRR14638435"	-0.15907619047619	-0.387576818466187	"down"
"248"	"chr2|-|d|ENSG00000144028|96299328|SRR14638435"	-0.155483582089552	-0.246783018112183	"down"
"249"	"chr2|-|d|ENSG00000115073|97658878|SRR14638435"	-0.193663742690058	-0.225736707448959	"down"
"250"	"chr2|-|d|ENSG00000115641|105398969|SRR14638435"	-0.190036290322581	-0.220658540725708	"down"
