sample	tss_group	tx	site	tp	tp_choice	value_mean	value_diff	pred	true	strand	chr	new_site	site_idx	SSE
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4443164	d	d_1	0.89731055	0.0020464659	0.4631139	0.6148090322276273	+	chr16	4443164	chr16|4443164	0.945
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4444664	a	a_1	0.9085266	0.018492695	0.4631139	0.6148090322276273	+	chr16	4444663	chr16|4444663	0.957
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4444728	d	d_1	0.9350178	0.008225448	0.4631139	0.6148090322276273	+	chr16	4444728	chr16|4444728	0.968
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4446886	a	a_1	0.89297074	-0.00039205328	0.4631139	0.6148090322276273	+	chr16	4446885	chr16|4446885	0.96
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4447014	d	d_1	0.9134883	0.0021819323	0.4631139	0.6148090322276273	+	chr16	4447014	chr16|4447014	0.992
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4448733	a	a_1	0.9169563	-0.0012479089	0.4631139	0.6148090322276273	+	chr16	4448732	chr16|4448732	0.967
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4448848	d	d_1	0.91034305	0.006119065	0.4631139	0.6148090322276273	+	chr16	4448848	chr16|4448848	0.903
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4450400	a	a_1	0.8866901	0.0089596845	0.4631139	0.6148090322276273	+	chr16	4450399	chr16|4450399	0.969
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4450497	d	d_1	0.52300626	-0.0019797236	0.4631139	0.6148090322276273	+	chr16	4450497	chr16|4450497	0.826
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4454811	a	a_0	0.8646627	0.002804786	0.4631139	0.6148090322276273	+	chr16	4454810	chr16|4454810	0.253
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4454927	d	d_0	0.8727471	-0.0366539	0.4631139	0.6148090322276273	+	chr16	4454927	chr16|4454927	0.23
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4455546	a	a_1	0.79973185	0.035620924	0.4631139	0.6148090322276273	+	chr16	4455545	chr16|4455545	0.817
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4456772	tes	tes_1			0.4631139	0.6148090322276273	+	chr16	4456772	chr16|4456772	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4425860	tss	tss_1			0.40603727	0.3409472627168969	+	chr16	4425860	chr16|4425860	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4426092	d	d_1	0.66059124	0.07838216	0.40603727	0.3409472627168969	+	chr16	4426092	chr16|4426092	0.881
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4431599	a	a_0	0.003287814	0.00049057975	0.40603727	0.3409472627168969	+	chr16	4431598	chr16|4431598	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4431672	d	d_0	0.030325543	-0.012909524	0.40603727	0.3409472627168969	+	chr16	4431672	chr16|4431672	0.003
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4434384	a	a_1	0.93627703	0.00013929978	0.40603727	0.3409472627168969	+	chr16	4434383	chr16|4434383	0.901
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4434517	d	d_1	0.93592167	0.005705148	0.40603727	0.3409472627168969	+	chr16	4434517	chr16|4434517	0.985
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4437402	a	a_1	0.93455786	0.0022130795	0.40603727	0.3409472627168969	+	chr16	4437401	chr16|4437401	0.961
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4437485	d	d_1	0.9307271	-0.09284376	0.40603727	0.3409472627168969	+	chr16	4437485	chr16|4437485	0.922
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4441375	a	a_1	0.91241413	0.017306406	0.40603727	0.3409472627168969	+	chr16	4441374	chr16|4441374	0.947
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4441506	a	a_0	3.80171e-07	0.009444419	0.40603727	0.3409472627168969	+	chr16	4441505	chr16|4441505	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4441575	d	d_1	0.9142863	0.009349983	0.40603727	0.3409472627168969	+	chr16	4441575	chr16|4441575	0.986
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4442268	a	a_1	0.8996511	0.0048522316	0.40603727	0.3409472627168969	+	chr16	4442267	chr16|4442267	0.986
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4442420	d	d_1	0.9105191	0.0055383965	0.40603727	0.3409472627168969	+	chr16	4442420	chr16|4442420	0.944
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4443017	a	a_1	0.8593257	-0.040183973	0.40603727	0.3409472627168969	+	chr16	4443016	chr16|4443016	0.962
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4443164	d	d_1	0.89731055	0.0020464659	0.40603727	0.3409472627168969	+	chr16	4443164	chr16|4443164	0.945
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4444664	a	a_1	0.9085266	0.018492695	0.40603727	0.3409472627168969	+	chr16	4444663	chr16|4444663	0.957
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4444728	d	d_1	0.9350178	0.008225448	0.40603727	0.3409472627168969	+	chr16	4444728	chr16|4444728	0.968
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4446886	a	a_1	0.89297074	-0.00039205328	0.40603727	0.3409472627168969	+	chr16	4446885	chr16|4446885	0.96
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4447014	d	d_1	0.9134883	0.0021819323	0.40603727	0.3409472627168969	+	chr16	4447014	chr16|4447014	0.992
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4448733	a	a_1	0.9169563	-0.0012479089	0.40603727	0.3409472627168969	+	chr16	4448732	chr16|4448732	0.967
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4448848	d	d_1	0.91034305	0.006119065	0.40603727	0.3409472627168969	+	chr16	4448848	chr16|4448848	0.903
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4450400	a	a_1	0.8866901	0.0089596845	0.40603727	0.3409472627168969	+	chr16	4450399	chr16|4450399	0.969
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4450497	d	d_1	0.52300626	-0.0019797236	0.40603727	0.3409472627168969	+	chr16	4450497	chr16|4450497	0.826
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4454811	a	a_0	0.8646627	0.002804786	0.40603727	0.3409472627168969	+	chr16	4454810	chr16|4454810	0.253
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4454927	d	d_0	0.8727471	-0.0366539	0.40603727	0.3409472627168969	+	chr16	4454927	chr16|4454927	0.23
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4455546	a	a_1	0.79973185	0.035620924	0.40603727	0.3409472627168969	+	chr16	4455545	chr16|4455545	0.817
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000355296.8	4456775	tes	tes_1			0.40603727	0.3409472627168969	+	chr16	4456775	chr16|4456775	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4425865	tss	tss_1			0.014531188	0.0158314595481669	+	chr16	4425865	chr16|4425865	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4426092	d	d_1	0.66059124	0.07838216	0.014531188	0.0158314595481669	+	chr16	4426092	chr16|4426092	0.881
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4431599	a	a_1	0.003287814	0.00049057975	0.014531188	0.0158314595481669	+	chr16	4431598	chr16|4431598	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4431672	d	d_1	0.030325543	-0.012909524	0.014531188	0.0158314595481669	+	chr16	4431672	chr16|4431672	0.003
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4434384	a	a_1	0.93627703	0.00013929978	0.014531188	0.0158314595481669	+	chr16	4434383	chr16|4434383	0.901
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4434517	d	d_1	0.93592167	0.005705148	0.014531188	0.0158314595481669	+	chr16	4434517	chr16|4434517	0.985
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4437402	a	a_1	0.93455786	0.0022130795	0.014531188	0.0158314595481669	+	chr16	4437401	chr16|4437401	0.961
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4437485	d	d_1	0.9307271	-0.09284376	0.014531188	0.0158314595481669	+	chr16	4437485	chr16|4437485	0.922
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4441375	a	a_1	0.91241413	0.017306406	0.014531188	0.0158314595481669	+	chr16	4441374	chr16|4441374	0.947
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4441506	a	a_0	3.80171e-07	0.009444419	0.014531188	0.0158314595481669	+	chr16	4441505	chr16|4441505	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4441575	d	d_1	0.9142863	0.009349983	0.014531188	0.0158314595481669	+	chr16	4441575	chr16|4441575	0.986
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4442268	a	a_1	0.8996511	0.0048522316	0.014531188	0.0158314595481669	+	chr16	4442267	chr16|4442267	0.986
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4442383	tes	tes_1			0.014531188	0.0158314595481669	+	chr16	4442383	chr16|4442383	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4442420	d	d_0	0.9105191	0.0055383965	0.014531188	0.0158314595481669	+	chr16	4442420	chr16|4442420	0.944
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4443017	a	a_0	0.8593257	-0.040183973	0.014531188	0.0158314595481669	+	chr16	4443016	chr16|4443016	0.962
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4443164	d	d_0	0.89731055	0.0020464659	0.014531188	0.0158314595481669	+	chr16	4443164	chr16|4443164	0.945
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4444664	a	a_0	0.9085266	0.018492695	0.014531188	0.0158314595481669	+	chr16	4444663	chr16|4444663	0.957
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4444728	d	d_0	0.9350178	0.008225448	0.014531188	0.0158314595481669	+	chr16	4444728	chr16|4444728	0.968
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4446886	a	a_0	0.89297074	-0.00039205328	0.014531188	0.0158314595481669	+	chr16	4446885	chr16|4446885	0.96
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4447014	d	d_0	0.9134883	0.0021819323	0.014531188	0.0158314595481669	+	chr16	4447014	chr16|4447014	0.992
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4448733	a	a_0	0.9169563	-0.0012479089	0.014531188	0.0158314595481669	+	chr16	4448732	chr16|4448732	0.967
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4448848	d	d_0	0.91034305	0.006119065	0.014531188	0.0158314595481669	+	chr16	4448848	chr16|4448848	0.903
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4450400	a	a_0	0.8866901	0.0089596845	0.014531188	0.0158314595481669	+	chr16	4450399	chr16|4450399	0.969
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4450497	d	d_0	0.52300626	-0.0019797236	0.014531188	0.0158314595481669	+	chr16	4450497	chr16|4450497	0.826
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4454811	a	a_0	0.8646627	0.002804786	0.014531188	0.0158314595481669	+	chr16	4454810	chr16|4454810	0.253
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4454927	d	d_0	0.8727471	-0.0366539	0.014531188	0.0158314595481669	+	chr16	4454927	chr16|4454927	0.23
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000575106.5	4455546	a	a_0	0.79973185	0.035620924	0.014531188	0.0158314595481669	+	chr16	4455545	chr16|4455545	0.817
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4425868	tss	tss_1			0.13854392	0.0284122455073088	+	chr16	4425868	chr16|4425868	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4426092	d	d_1	0.66059124	0.07838216	0.13854392	0.0284122455073088	+	chr16	4426092	chr16|4426092	0.881
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4431599	a	a_0	0.003287814	0.00049057975	0.13854392	0.0284122455073088	+	chr16	4431598	chr16|4431598	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4431672	d	d_0	0.030325543	-0.012909524	0.13854392	0.0284122455073088	+	chr16	4431672	chr16|4431672	0.003
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4434384	a	a_1	0.93627703	0.00013929978	0.13854392	0.0284122455073088	+	chr16	4434383	chr16|4434383	0.901
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4434517	d	d_1	0.93592167	0.005705148	0.13854392	0.0284122455073088	+	chr16	4434517	chr16|4434517	0.985
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4437402	a	a_1	0.93455786	0.0022130795	0.13854392	0.0284122455073088	+	chr16	4437401	chr16|4437401	0.961
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4437485	d	d_1	0.9307271	-0.09284376	0.13854392	0.0284122455073088	+	chr16	4437485	chr16|4437485	0.922
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4441375	a	a_1	0.91241413	0.017306406	0.13854392	0.0284122455073088	+	chr16	4441374	chr16|4441374	0.947
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4441506	a	a_0	3.80171e-07	0.009444419	0.13854392	0.0284122455073088	+	chr16	4441505	chr16|4441505	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4441575	d	d_1	0.9142863	0.009349983	0.13854392	0.0284122455073088	+	chr16	4441575	chr16|4441575	0.986
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4442268	a	a_1	0.8996511	0.0048522316	0.13854392	0.0284122455073088	+	chr16	4442267	chr16|4442267	0.986
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4442420	d	d_1	0.9105191	0.0055383965	0.13854392	0.0284122455073088	+	chr16	4442420	chr16|4442420	0.944
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4443017	a	a_1	0.8593257	-0.040183973	0.13854392	0.0284122455073088	+	chr16	4443016	chr16|4443016	0.962
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4443164	d	d_1	0.89731055	0.0020464659	0.13854392	0.0284122455073088	+	chr16	4443164	chr16|4443164	0.945
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4444664	a	a_1	0.9085266	0.018492695	0.13854392	0.0284122455073088	+	chr16	4444663	chr16|4444663	0.957
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4444728	d	d_1	0.9350178	0.008225448	0.13854392	0.0284122455073088	+	chr16	4444728	chr16|4444728	0.968
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4446886	a	a_1	0.89297074	-0.00039205328	0.13854392	0.0284122455073088	+	chr16	4446885	chr16|4446885	0.96
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4447014	d	d_1	0.9134883	0.0021819323	0.13854392	0.0284122455073088	+	chr16	4447014	chr16|4447014	0.992
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4448733	a	a_1	0.9169563	-0.0012479089	0.13854392	0.0284122455073088	+	chr16	4448732	chr16|4448732	0.967
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4448848	d	d_1	0.91034305	0.006119065	0.13854392	0.0284122455073088	+	chr16	4448848	chr16|4448848	0.903
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4450400	a	a_1	0.8866901	0.0089596845	0.13854392	0.0284122455073088	+	chr16	4450399	chr16|4450399	0.969
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4450497	d	d_1	0.52300626	-0.0019797236	0.13854392	0.0284122455073088	+	chr16	4450497	chr16|4450497	0.826
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4454811	a	a_1	0.8646627	0.002804786	0.13854392	0.0284122455073088	+	chr16	4454810	chr16|4454810	0.253
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4454927	d	d_1	0.8727471	-0.0366539	0.13854392	0.0284122455073088	+	chr16	4454927	chr16|4454927	0.23
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4455546	a	a_1	0.79973185	0.035620924	0.13854392	0.0284122455073088	+	chr16	4455545	chr16|4455545	0.817
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000262375.11	4456775	tes	tes_1			0.13854392	0.0284122455073088	+	chr16	4456775	chr16|4456775	
